iter	RMSE
0	0.9626047682
1	0.925132294
2	0.8906919669
3	0.8605991855
4	0.8336152267
5	0.8075417201
6	0.7838407751
7	0.7613594273
8	0.7427546445
9	0.7269343846
10	0.7106945689
11	0.6957518213
12	0.6822166937
13	0.6718259509
14	0.661648176
15	0.652667456
16	0.644400702
17	0.6367963818
18	0.630016786
19	0.6235628329
20	0.618021366
21	0.6125271648
22	0.6079940643
23	0.60390627
24	0.6001932299
25	0.5972096061
26	0.594597365
27	0.592085805
28	0.589860478
29	0.5879062463
30	0.5859575061
31	0.5845042079
32	0.5828673677
33	0.5813810196
34	0.5797889893
35	0.5785508237
36	0.5774657928
37	0.576589167
38	0.5754141749
39	0.5745066252
40	0.573756743
41	0.5728474267
42	0.5721337916
43	0.571560426
44	0.5709258684
45	0.5703723637
46	0.5698261344
47	0.5691685949
48	0.5687661508
49	0.5682213105
50	0.5676977579
51	0.5672033093
52	0.566911313
53	0.5664120077
54	0.5660674795
55	0.5658084385
56	0.5653649101
57	0.5648913947
58	0.5646154121
59	0.5641810238
60	0.5638372221
61	0.5634774549
62	0.5632238906
63	0.5629214361
64	0.5625100814
65	0.5622524496
66	0.5620753735
67	0.5619044223
68	0.5616758408
69	0.5613855309
70	0.5612470055
71	0.560912035
72	0.5607893456
73	0.5605970656
74	0.5603824656
75	0.5601441219
76	0.5599897325
77	0.5597636497
78	0.5594434524
79	0.5592998343
80	0.5590708064
81	0.5589404192
82	0.5586429409
83	0.5584850432
84	0.5583360823
85	0.558211992
86	0.5580287973
87	0.5578814482
88	0.5576643923
89	0.5575068819
90	0.5573087241
91	0.5570172004
92	0.5567440516
93	0.5566194898
94	0.5565311245
95	0.556381912
96	0.5561754068
97	0.5560479093
98	0.5559860403
99	0.5557382679
100	0.5555654431
101	0.5554542031
102	0.555295392
103	0.5551595055
104	0.5548666484
105	0.5547284968
106	0.554611264
107	0.5544565528
108	0.5542521863
109	0.554172355
110	0.5540191969
111	0.5538778665
112	0.5536744244
113	0.553468107
114	0.55338323
115	0.5532481537
116	0.5531197131
117	0.5529098745
118	0.5527404058
119	0.5524943269
120	0.5523125583
121	0.5521836632
122	0.5519163542
123	0.5518033815
124	0.5516394341
125	0.5515155504
126	0.551337608
127	0.5511520395
128	0.5510203249
129	0.5508293696
130	0.5507396463
131	0.5505423289
132	0.550451725
133	0.5502653176
134	0.5501501685
135	0.5499726006
136	0.549827778
137	0.5496721523
138	0.5494248628
139	0.5492624208
140	0.5491618343
141	0.5489455878
142	0.548786782
143	0.5486694693
144	0.5485477376
145	0.5485080694
146	0.5483081699
147	0.5481152474
148	0.5479282042
149	0.5477030893
150	0.5475054692
151	0.5473791173
152	0.5472401143
153	0.5471195788
154	0.5470004118
155	0.5468075793
156	0.5467035602
157	0.5465099806
158	0.5463629869
159	0.5463117815
160	0.5460332541
161	0.5458942301
162	0.5457443472
163	0.5455902555
164	0.5453440429
165	0.545208726
166	0.5449384332
167	0.5447808847
168	0.5446722384
169	0.5445965207
170	0.5445640078
171	0.5443215546
172	0.5441115172
173	0.5440295337
174	0.543825091
175	0.5436944759
176	0.5434111092
177	0.5431542361
178	0.5430109879
179	0.5430009896
180	0.542778053
181	0.5425486038
182	0.5423223912
183	0.5421523926
184	0.5420278188
185	0.5417897874
186	0.5416471886
187	0.5414384659
188	0.5412345092
189	0.5411090185
190	0.5409332644
191	0.5406257423
192	0.5403696313
193	0.5401707321
194	0.5399138018
195	0.5397263854
196	0.539510241
197	0.5393024445
198	0.539070256
199	0.5390594991
200	0.5389591116
201	0.5388005454
202	0.5385480594
203	0.5383642424
204	0.5383227208
205	0.5382404612
206	0.53806003
207	0.5378769629
208	0.5377202786
209	0.5374024682
210	0.5372071043
211	0.5370593671
212	0.5369786928
213	0.536798058
214	0.5366494822
215	0.5365051838
216	0.5362431176
217	0.5362345754
218	0.5360401941
219	0.5358907084
220	0.5357312812
221	0.5355646345
222	0.535400233
223	0.5353872661
224	0.5352540041
225	0.5350503361
226	0.534892084
227	0.5347532463
228	0.534625102
229	0.5344384826
230	0.5342408676
231	0.5340619398
232	0.5338745538
233	0.5336697854
234	0.5335356529
235	0.5333328967
236	0.5331815191
237	0.5331723072
238	0.5330896927
239	0.5330774843
240	0.5328518235
241	0.5327566536
242	0.5325954732
243	0.5324636597
244	0.5323310467
245	0.5321719681
246	0.5319438537
247	0.5316868907
248	0.5316777184
249	0.5315884457
250	0.5313761355
251	0.5312701476
252	0.5311407685
253	0.5310497165
254	0.5308047351
255	0.5307936453
256	0.5306204003
257	0.5304911308
258	0.5303449906
259	0.5303376277
260	0.5302097854
261	0.5299677757
262	0.5298713779
263	0.5297292428
264	0.5295329086
265	0.5293845483
266	0.5292530625
267	0.5292464131
268	0.529079551
269	0.5290726502
270	0.5289580013
271	0.528950937
272	0.5287952487
273	0.5285994592
274	0.5284368402
275	0.528430386
276	0.5282058949
277	0.5282001104
278	0.528053826
279	0.5279186229
280	0.5276138043
281	0.5274396774
282	0.5271684961
283	0.5269530397
284	0.5269130178
285	0.5269075747
286	0.5268434258
287	0.5266382996
288	0.5265306674
289	0.5263574352
290	0.5262418686
291	0.5261323693
292	0.5259731879
293	0.5258699373
294	0.52580247
295	0.5257127526
296	0.5255266994
297	0.5254347925
298	0.5253009856
299	0.5252795742
