iter	RMSE
0	0.9833081811
1	0.9621849304
2	0.9415629984
3	0.9225193966
4	0.9042338157
5	0.8874739083
6	0.8721995242
7	0.8575581957
8	0.8426845437
9	0.8293461505
10	0.8161144196
11	0.804105567
12	0.7931469086
13	0.782681469
14	0.7724667034
15	0.7630409056
16	0.7543418731
17	0.745575457
18	0.7367982065
19	0.7292540507
20	0.7218633531
21	0.7155186414
22	0.7083803293
23	0.7021138064
24	0.6965568542
25	0.6905276934
26	0.6851044856
27	0.6799551583
28	0.6757997786
29	0.6712953237
30	0.6665451117
31	0.6629649211
32	0.6589350178
33	0.6546618566
34	0.6513132436
35	0.6477513714
36	0.6443355103
37	0.6411860156
38	0.6384205073
39	0.6356407177
40	0.6324755708
41	0.6298019372
42	0.6274216885
43	0.6247687235
44	0.6226351552
45	0.6206962813
46	0.6186351354
47	0.6166646713
48	0.6150389048
49	0.6127313648
50	0.6111906499
51	0.6086669502
52	0.6069122051
53	0.6050958666
54	0.6032591219
55	0.6010683239
56	0.5996422886
57	0.5979810271
58	0.5961775529
59	0.594388618
60	0.5925614645
61	0.5914415063
62	0.5899165875
63	0.5887514225
64	0.5873918298
65	0.5862807549
66	0.5851659631
67	0.5840377211
68	0.582746095
69	0.5811936437
70	0.5801323315
71	0.579231495
72	0.577877134
73	0.5766731129
74	0.5760550957
75	0.5751165035
76	0.5738802805
77	0.5728146215
78	0.5718482455
79	0.5708846487
80	0.5693312581
81	0.5681076279
82	0.5671410946
83	0.5660636661
84	0.5651595875
85	0.5644074616
86	0.563450634
87	0.562226181
88	0.5608270045
89	0.5598187316
90	0.5587557412
91	0.5578790482
92	0.55697634
93	0.5556610007
94	0.5548114368
95	0.5532580779
96	0.5523956586
97	0.5518942956
98	0.5511379636
99	0.5502590547
100	0.5490559529
101	0.5475830361
102	0.5470176344
103	0.5458067825
104	0.545256179
105	0.5444735989
106	0.543837149
107	0.5431843095
108	0.5420088212
109	0.5413910121
110	0.5405313984
111	0.5397056962
112	0.5388703917
113	0.5373313699
114	0.5360610888
115	0.5349201234
116	0.5339411247
117	0.5332383421
118	0.5322754013
119	0.5315158825
120	0.5300086265
121	0.5287746857
122	0.5278211163
123	0.52708054
124	0.5266765473
125	0.5258296684
126	0.5248392841
127	0.5240937338
128	0.5232442621
129	0.5225144928
130	0.5212166221
131	0.5205233612
132	0.5200582923
133	0.5189914175
134	0.5182981668
135	0.5178027868
136	0.5168104852
137	0.5162955975
138	0.5153082555
139	0.5136196332
140	0.5128422915
141	0.5118827209
142	0.5108618907
143	0.5104058485
144	0.5090126626
145	0.5081570007
146	0.5074079397
147	0.5066978983
148	0.5049999644
149	0.5042194212
150	0.5033789204
151	0.5026428437
152	0.502103529
153	0.5009203687
154	0.5001652075
155	0.4997554973
156	0.4988433182
157	0.4976590764
158	0.4970724553
159	0.4957359979
160	0.4952322451
161	0.4943848571
162	0.4936810611
163	0.4925924833
164	0.491953745
165	0.4914286343
166	0.4907046388
167	0.4902878693
168	0.489513741
169	0.4888309213
170	0.4881398861
171	0.4866064531
172	0.4859089415
173	0.4847700524
174	0.4844709318
175	0.4837376462
176	0.4834234701
177	0.4829727927
178	0.4822000791
179	0.4812595413
180	0.4802611603
181	0.4793151929
182	0.47868059
183	0.4778062682
184	0.4766213573
185	0.4754922808
186	0.4746989648
187	0.4735162037
188	0.4730330155
189	0.4725674967
190	0.4718377019
191	0.470943572
192	0.4705372981
193	0.469607021
194	0.4692132821
195	0.4690102275
196	0.4682929885
197	0.4675729583
198	0.4669441871
199	0.4659905116
200	0.4652874568
201	0.4643328414
202	0.4632257179
203	0.4623818659
204	0.4616642519
205	0.4610024875
206	0.4598919964
207	0.4596368565
208	0.4589675936
209	0.4580262086
210	0.4569738914
211	0.4564465728
212	0.4561787736
213	0.4552989985
214	0.4541361971
215	0.4539216146
216	0.4529543798
217	0.4520174526
218	0.4515211945
219	0.4508289125
220	0.4501557789
221	0.4493273032
222	0.4487173049
223	0.4478250038
224	0.446787113
225	0.4462846086
226	0.4454763055
227	0.4445311528
228	0.4436563284
229	0.4424407069
230	0.4413596449
231	0.4403069005
232	0.4399566423
233	0.4386696453
234	0.4374702266
235	0.4363879635
236	0.4355022332
237	0.4343038588
238	0.4332588331
239	0.4325345965
240	0.4320056849
241	0.4313088942
242	0.4307017852
243	0.4295733561
244	0.4289165985
245	0.427717671
246	0.4266979167
247	0.425988606
248	0.4250479308
249	0.4237958681
250	0.4230223594
251	0.4214991414
252	0.42045875
253	0.4197790215
254	0.4188490602
255	0.4182766372
256	0.4171504161
257	0.4167608372
258	0.4157757616
259	0.4147894081
260	0.4143183073
261	0.4131193406
262	0.4115766524
263	0.4106257116
264	0.4095629511
265	0.4089717459
266	0.4083064388
267	0.4072596072
268	0.4057764396
269	0.4051142249
270	0.4039562583
271	0.4035745119
272	0.4030721683
273	0.4025161652
274	0.4016855554
275	0.4008777604
276	0.4001327066
277	0.3993998668
278	0.3988774436
279	0.3981172291
280	0.3975547657
281	0.3960743021
282	0.3952340917
283	0.3946860405
284	0.3938193595
285	0.3928995486
286	0.3920216737
287	0.391011322
288	0.390361508
289	0.3894230306
290	0.388915999
291	0.3881735334
292	0.3876609041
293	0.3867899644
294	0.3854661585
295	0.384854039
296	0.3843922474
297	0.3837673282
298	0.3827073548
299	0.3821492886
300	0.3813681248
301	0.3808676695
302	0.380019607
303	0.3794831622
304	0.3789752184
305	0.3779995572
306	0.3770544989
307	0.3761784569
308	0.375263253
309	0.3749163876
310	0.3739855053
311	0.3732868951
312	0.372574623
313	0.3718007505
314	0.3709512224
315	0.3700620579
316	0.3692235109
317	0.3682997288
318	0.3679995602
319	0.3674144852
320	0.367023637
321	0.3664410373
322	0.3659529037
323	0.3654340699
324	0.3642244474
325	0.3638070586
326	0.3633756084
327	0.3627175999
328	0.3618113666
329	0.3611725578
330	0.3604962407
331	0.3597216629
332	0.3590656598
333	0.3583869456
334	0.3579314371
335	0.3574351716
336	0.356385075
337	0.3555156044
338	0.3548900592
339	0.354350217
340	0.3533690498
341	0.3524976824
342	0.3515540267
343	0.3509744285
344	0.3501585408
345	0.3494661608
346	0.3487266843
347	0.348045772
348	0.347375877
349	0.3463816119
350	0.3457082524
351	0.3448531444
352	0.3439018184
353	0.3430986474
354	0.3423903319
355	0.3415766899
356	0.3412545523
357	0.34071259
358	0.3397131769
359	0.3388574074
360	0.3383849419
361	0.338125943
362	0.3374812856
363	0.3367146528
364	0.3362584615
365	0.3357285718
366	0.33534358
367	0.3343607774
